numtasks = 2
rank 0: from 1 to 51
numtasks = 2
rank 1: from 52 to 101
process 1 error 0.9315476884 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.9218574192 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.9122637009 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.9027664417 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8933654720 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8841150061 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8750455898 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8660660484 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8571761428 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8483755795 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8396640146 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8310410587 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8225109399 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8141780795 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.8059280650 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7977604997 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7896749541 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7816709689 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7737480575 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7659057086 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7581433882 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7505288862 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7430130368 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7355722152 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
